id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
80,M,1.4875,1.1375,0.4125,29.1149365,12.246984,6.577084,8.3631025,10.0
81,F,1.3,1.0625,0.4,23.51591025,10.21999475,6.2652395,6.7755305,10.0
82,I,1.3,1.025,0.3,16.896302,7.881161,3.8838815,4.3941725,8.0
83,I,0.825,0.625,0.2,4.309124,1.97029025,0.963883,1.2757275,5.0
84,M,0.875,0.6375,0.2125,6.0384435,3.24601775,1.3891255,1.70097,6.0
85,F,1.5,1.225,0.4125,34.8415355,14.84096325,7.01650125,8.788345,9.0
86,F,1.55,1.2125,0.4,34.74231225,17.61921425,6.4920355,8.7599955,10.0
87,F,1.7,1.3375,0.4625,45.3875495,19.447757,9.1568885,14.514944,16.0
88,M,1.675,1.3125,0.4375,45.2741515,20.2131935,9.8372765,11.3398,9.0
89,I,0.975,0.7375,0.2375,8.5898985,3.6003865,1.70097,2.4097075,7.0
90,M,1.425,1.1,0.4,22.01338675,9.6671795,4.91863825,7.654365,14.0
91,F,1.5625,1.2,0.4125,32.89959475,14.84096325,6.577084,10.0640725,11.0
92,I,0.925,0.6875,0.2125,6.7188315,3.061746,1.11980525,1.984465,6.0
93,M,1.525,1.2,0.45,38.20095125,15.66309875,7.881161,12.417081,11.0
94,M,1.5625,1.225,0.4,29.937072,14.0330025,6.81805475,9.6104805,11.0
95,M,1.45,1.1375,0.3875,25.8263945,10.47514025,5.79747275,9.7805775,17.0
96,M,1.4625,1.0625,0.35,21.70154225,9.8372765,4.32329875,7.2291225,10.0
97,I,1.1125,0.8125,0.2875,10.21999475,4.309124,2.33883375,3.40194,9.0
98,I,0.7,0.525,0.1875,2.721552,1.0489315,0.680388,0.850485,6.0
99,F,1.55,1.2375,0.4875,32.205032,10.9145575,6.76135575,10.886208,21.0
100,I,1.2875,0.95,0.3375,20.241543,9.00096625,4.479221,5.5281525,9.0
101,F,1.325,1.025,0.325,21.95668775,11.793392,4.01145425,5.10291,9.0
102,M,1.5,1.225,0.3875,34.79901125,15.18115725,7.597666,9.922325,9.0
103,M,1.6375,1.3,0.5125,42.070658,13.5794105,9.3836845,12.85649825,17.0
104,I,0.7,0.525,0.2,3.07592075,1.587572,0.80796075,0.850485,4.0
105,F,1.4625,1.125,0.4625,27.385617,12.6155275,5.96756975,8.3631025,17.0
106,M,1.2875,1.0,0.3625,21.8007655,8.0796075,4.12485225,7.2291225,19.0
107,I,1.3625,1.0,0.3125,17.67591325,8.46232575,3.78465825,5.10291,9.0
108,I,0.975,0.725,0.25,7.93786,3.30271675,1.7293195,2.4097075,7.0
109,F,1.575,1.1875,0.375,35.98969025,17.1514475,6.633783,9.922325,10.0
110,M,1.4,1.125,0.325,22.75047375,10.21999475,4.57844425,6.23689,8.0
111,I,0.95,0.725,0.2375,7.98038425,3.13261975,1.587572,2.551455,7.0
112,M,1.375,1.0625,0.375,22.41027975,10.5176645,5.7549485,5.6699,8.0
113,M,1.575,1.2,0.4375,36.2535795,16.51358375,7.86698625,9.63883,10.0
114,I,1.2125,0.9875,0.3,16.9813505,8.9300925,3.81300775,3.8271825,8.0
115,I,0.4375,0.3,0.1125,0.89300925,0.41106775,0.226796,0.283495,4.0
116,M,1.7,1.325,0.475,43.410852,18.5122235,11.2547515,11.056305,14.0
117,I,1.25,0.9125,0.3125,13.39513875,5.499803,2.9199985,4.252425,8.0
118,I,1.3,1.0625,0.375,22.92057075,8.1930055,4.706017,7.37087,11.0
119,M,1.5875,1.2625,0.3875,39.2073585,20.68096025,8.391452,9.4970825,8.0
120,M,1.5,1.2,0.3875,29.8520235,12.3887315,7.41339425,8.50485,13.0
121,M,1.5875,1.2625,0.425,38.82464025,19.03668925,7.540967,10.0640725,11.0
122,I,1.0375,0.775,0.25,9.45455825,4.4508715,1.88524175,2.26796,9.0
123,F,1.4875,1.2,0.4125,29.9654215,11.963489,6.36446275,8.0796075,11.0
124,M,1.325,1.05,0.3625,22.169309,10.4042665,4.706017,6.6621325,11.0
125,F,1.4875,1.175,0.3625,27.9242575,11.8784405,6.16601625,8.9300925,10.0
126,I,0.9125,0.675,0.225,5.82582225,2.2963095,1.31825175,1.757669,6.0
127,M,1.2625,1.025,0.35,20.41164,7.35669525,4.309124,6.3786375,9.0
128,M,1.1,0.875,0.25,11.679994,4.57844425,2.16873675,3.8271825,9.0
129,I,0.9,0.6875,0.225,6.293589,2.7499015,1.45999925,1.984465,10.0
130,M,1.5375,1.1375,0.3875,27.1304715,12.06271225,5.5281525,7.2291225,8.0
131,M,1.5,1.1875,0.35,29.937072,15.762322,6.59125875,6.520385,9.0
132,F,1.225,1.0,0.4,24.73493875,7.1724235,5.8683465,8.3631025,16.0
133,M,1.525,1.1875,0.4625,31.2694985,13.2959155,7.314171,8.74582075,10.0
134,M,1.575,1.25,0.4375,34.37376875,15.025235,5.783298,10.20582,16.0
135,I,1.2125,0.95,0.3375,14.69921575,6.13766675,2.9766975,4.5642695,8.0
136,M,1.4125,1.1375,0.375,27.328918,12.85649825,4.46504625,7.93786,9.0
137,F,1.6125,1.275,0.475,34.68561325,14.55746825,7.52679225,11.056305,11.0
138,F,1.45,1.125,0.375,25.287754,10.5176645,5.216308,8.221355,12.0
139,F,1.6125,1.275,0.4,36.61337925,17.6050395,8.17883075,8.9300925,9.0
140,F,1.375,1.075,0.375,22.80717275,9.525432,5.25883225,5.953395,9.0
141,F,1.55,1.2,0.4125,34.8415355,15.86154525,6.90310325,9.4970825,11.0
142,M,1.5,1.1875,0.4125,29.95124675,10.432616,7.47009325,9.4970825,11.0
143,M,1.3125,1.0,0.325,17.84601025,7.83863675,3.95475525,6.23689,12.0
144,M,1.5,1.2375,0.425,31.127751,10.4042665,6.30776375,11.623295,15.0
145,M,1.5625,1.2375,0.4375,37.98833,17.70426275,7.9095105,9.7805775,10.0
146,F,1.75,1.4375,0.5,50.81647875,19.504456,10.24834425,13.0691195,13.0
147,M,1.575,1.2125,0.4125,32.16250775,13.93377925,7.767763,8.50485,12.0
148,F,1.325,1.0625,0.35,20.19901875,7.47009325,4.86193925,6.3786375,10.0
149,F,1.575,1.25,0.4625,37.40716525,15.57805025,9.2135875,9.4970825,12.0
150,F,1.6,1.25,0.45,34.1611475,13.93377925,7.257472,10.0073735,11.0
151,F,1.025,0.8125,0.275,9.4970825,4.32329875,2.5231055,3.21766825,10.0
152,I,1.1625,0.975,0.3,18.540573,9.979024,3.7704835,4.3941725,7.0
153,M,1.5,1.2125,0.45,33.89182725,13.99047825,7.2858215,9.2135875,13.0
154,F,1.625,1.2625,0.4,38.838815,17.7751365,7.9662095,10.3475675,12.0
155,M,1.575,1.225,0.4,33.6508565,16.68368075,6.25106475,8.66077225,11.0
156,F,1.6,1.2125,0.4125,37.52056325,17.22232125,6.67630725,8.9300925,10.0
157,F,1.6,1.2625,0.4125,40.97920225,18.9091165,9.39785925,10.0640725,13.0
158,I,1.2,0.85,0.35,15.37960375,6.973977,3.58621175,3.98310475,7.0
159,M,1.6125,1.225,0.4375,38.838815,18.10115575,7.89533575,10.2908685,9.0
160,I,1.4875,1.125,0.35,23.28911425,12.3320325,5.216308,6.16601625,10.0
161,I,1.425,1.15,0.35,24.50814275,11.69416875,5.93922025,7.47009325,9.0
162,M,1.3375,1.0125,0.3875,22.92057075,7.92368525,4.01145425,7.37087,10.0
163,M,1.225,0.975,0.3,17.36406875,9.62465525,3.89805625,5.2446575,8.0
164,M,1.7,1.3125,0.5,50.6605565,18.83824275,10.9712565,14.514944,12.0
165,F,1.4,1.075,0.3625,23.48756075,9.76640275,4.5075705,6.23689,10.0
166,M,1.225,0.95,0.3375,16.839603,6.4920355,3.1467945,4.876114,10.0
167,I,0.6375,0.475,0.15,2.26796,0.97805775,0.396893,0.7087375,5.0
168,M,1.4,1.125,0.3625,27.62658775,8.32057825,5.386405,10.20582,15.0
169,M,1.5125,1.25,0.4375,46.606578,20.28406725,7.47009325,13.04077,12.0
170,M,1.3125,1.05,0.3875,22.15513425,10.035723,4.46504625,6.6621325,12.0
171,F,1.5,1.175,0.4125,31.87901275,12.82814875,7.7394135,9.59630575,14.0
172,M,1.4625,1.1375,0.4125,31.62386725,13.25339125,7.07320025,7.55514175,9.0
173,I,1.175,0.9125,0.2625,12.09106175,4.77689075,2.42388225,4.1106775,8.0
174,I,1.325,1.075,0.325,22.41027975,10.90038275,4.479221,5.2446575,8.0
175,F,1.475,1.175,0.425,40.1145425,19.03668925,8.34892775,10.3475675,10.0
176,F,1.4375,1.0875,0.3875,25.44367625,11.04213025,6.59125875,6.9456275,9.0
177,I,1.25,0.9375,0.275,15.74814725,6.577084,3.01922175,4.6776675,8.0
178,I,1.3,1.0,0.35,19.83047525,9.525432,4.63514325,5.6699,8.0
179,F,1.4,1.1,0.4125,23.7852305,9.87980075,5.10291,6.80388,11.0
180,F,1.5125,1.225,0.4,32.4601775,13.62193475,6.08096775,9.922325,12.0
181,M,1.4125,1.125,0.375,24.38057,10.432616,4.9044635,7.7961125,10.0
182,M,1.4625,1.15,0.4,24.720764,10.659412,5.71242425,6.747181,10.0
183,I,1.5125,1.1875,0.4375,31.34037225,15.0535845,6.39281225,9.7805775,8.0
184,I,0.725,0.525,0.175,3.04757125,1.13398,0.80796075,0.850485,6.0
185,M,1.3625,1.05,0.375,19.8163005,8.54737425,4.15320175,6.0951425,8.0
186,I,1.35,1.0375,0.375,20.87940675,9.1001895,4.20990075,7.087375,9.0
187,I,0.8375,0.65,0.225,5.5281525,2.4097075,1.5025235,1.5592225,7.0
188,M,1.55,1.225,0.4125,34.302895,15.15280775,7.10154975,9.02931575,11.0
189,I,0.9125,0.675,0.225,6.39281225,3.2034935,1.4458245,1.8427175,7.0
190,I,1.0,0.775,0.25,7.10154975,3.30271675,1.7293195,2.14038725,7.0
191,I,0.825,0.6625,0.2,5.25883225,2.67902775,1.09145575,1.8427175,6.0
192,I,1.2,0.9375,0.3,16.839603,7.07320025,3.81300775,4.89028875,8.0
193,M,1.5375,1.2125,0.4375,36.27318525,16.3009625,8.4198015,10.0640725,10.0
194,F,1.3875,1.125,0.3375,23.530085,9.3269855,5.42892925,7.087375,12.0
195,F,1.25,0.9625,0.3125,16.68368075,7.9095105,3.07592075,4.9611625,9.0
196,I,1.425,1.125,0.35,26.54930675,13.0691195,5.8683465,8.3631025,9.0
197,F,1.5,1.225,0.3625,32.4601775,15.01106025,6.22271525,8.788345,11.0
198,I,0.9,0.65,0.225,5.85417175,2.211261,1.6159215,1.70097,7.0
199,F,1.6125,1.275,0.4125,45.8978405,21.262125,9.128539,11.509897,11.0
200,I,0.425,0.325,0.1125,0.89300925,0.35436875,0.18427175,0.29766975,5.0
201,F,1.325,1.025,0.3375,19.447757,8.1930055,4.86193925,5.273007,10.0
202,F,1.5125,1.1875,0.4,31.127751,13.777857,6.463686,8.50485,10.0
203,F,1.4625,1.125,0.4125,28.81726675,13.53688625,6.350288,7.5126175,26.0
204,M,1.2875,0.9875,0.35,16.31513725,6.8322295,3.9972795,5.2446575,14.0
205,M,1.6,1.225,0.4125,34.8415355,15.592225,8.4198015,9.4970825,9.0
206,F,1.425,1.125,0.375,27.78251,13.19669225,5.273007,7.2291225,9.0
207,I,0.7125,0.525,0.15,2.76407625,1.26155275,0.66621325,0.9922325,5.0
208,M,1.35,1.0125,0.3125,22.6512505,10.61688775,4.7910655,5.10291,8.0
209,I,0.975,0.75,0.275,7.86698625,3.55786225,1.77184375,2.2963095,7.0
210,F,1.575,1.225,0.425,39.519203,18.12950525,7.41339425,8.2497045,10.0
211,I,1.0375,0.8,0.2375,8.49067525,3.3735905,1.85689225,2.26796,6.0
212,I,1.2,1.0,0.325,15.87572,7.087375,3.6003865,4.3941725,8.0
213,M,1.4875,1.2125,0.375,32.19085725,12.1052365,6.5487345,9.63883,14.0
214,I,0.5875,0.4375,0.15,1.644271,0.49611625,0.35436875,0.510291,7.0
215,I,0.875,0.6375,0.225,4.97533725,2.154562,0.963883,1.43164975,5.0
216,M,1.25,0.9625,0.325,19.20678625,6.973977,5.59902625,4.6776675,14.0
217,M,1.2625,1.0,0.35,20.3265915,7.7961125,4.06815325,6.7755305,10.0
218,M,1.5625,1.275,0.45,39.745999,17.690088,7.9662095,10.3475675,11.0
219,F,1.3625,1.075,0.35,24.22464775,8.68912175,6.690482,8.9300925,14.0
220,M,1.6,1.25,0.45,36.78347625,16.00329275,8.2497045,9.922325,10.0
221,I,1.2125,0.925,0.275,13.96212875,5.99591925,3.04757125,4.252425,9.0
222,M,1.325,1.0125,0.35,20.42581475,9.07184,4.40834725,5.953395,8.0
223,F,1.425,1.125,0.4375,30.03629525,13.99047825,6.1518415,8.34892775,9.0
224,F,1.5625,1.2375,0.4375,32.78619675,16.8112535,8.51902475,8.9300925,6.0
225,I,1.425,1.125,0.375,27.71163625,12.09106175,5.76912325,7.087375,9.0
226,M,1.4,1.1,0.4125,24.67823975,10.6877615,5.03203625,6.6621325,8.0
227,I,1.3125,1.0,0.325,19.74542675,9.865626,3.27436725,4.819415,8.0
228,F,1.725,1.35,0.4875,55.46579675,20.19901875,11.566596,16.44271,17.0
229,M,1.1875,0.925,0.2875,14.69921575,6.293589,3.9972795,4.6776675,10.0
230,M,1.8625,1.5,0.5375,54.7428845,25.401152,12.99824575,14.17475,10.0
231,I,0.875,0.65,0.225,5.03203625,2.45223175,1.190679,1.70097,8.0
232,M,1.3375,1.0,0.325,19.74542675,8.788345,3.92640575,6.23689,9.0
233,M,1.675,1.3375,0.4375,41.91473575,17.179797,7.95203475,12.190285,21.0
234,M,1.475,1.175,0.4125,26.08154,10.149121,5.74077375,8.788345,9.0
235,F,1.45,1.125,0.425,23.45921125,10.546014,5.329706,6.76135575,8.0
236,F,1.5625,1.1875,0.425,33.55163325,16.20173925,7.3992195,8.0229085,10.0
237,M,1.7375,1.375,0.4875,61.90113325,31.62386725,13.891255,18.2287285,10.0
238,I,1.3375,1.0375,0.3375,24.11124975,10.9712565,4.9044635,7.7961125,9.0
239,M,1.525,1.2125,0.4375,32.13415825,14.6566915,7.78193775,9.07184,10.0
240,I,1.075,0.8,0.3125,10.8011595,3.92640575,2.4097075,3.40194,9.0
241,M,1.5125,1.2125,0.4,28.0943545,10.77281,6.406987,8.3064035,12.0
242,M,1.4125,1.1,0.4,29.937072,12.96989625,6.90310325,8.788345,10.0
243,M,1.3,1.0625,0.375,23.019794,9.39785925,4.876114,8.0796075,13.0
244,F,1.4,1.075,0.3625,26.308336,11.8217415,5.159609,7.654365,10.0
245,M,0.7,0.525,0.1875,3.30271675,1.2757275,0.80796075,0.850485,6.0
246,M,1.65,1.3125,0.4875,38.838815,20.34076625,9.53960675,11.1980525,11.0
247,F,1.375,1.0375,0.375,19.74542675,7.824462,3.8838815,6.0951425,10.0
248,M,1.6125,1.25,0.45,34.68561325,15.989118,8.60407325,10.20582,12.0
249,I,1.175,0.9375,0.3,15.32290475,7.030676,3.6570855,4.819415,9.0
250,M,1.2375,0.9625,0.2875,16.4143605,7.86698625,3.4869885,4.53592,8.0
251,F,1.5625,1.225,0.4375,39.179009,15.6772735,8.68912175,11.3398,12.0
252,M,1.575,1.2625,0.475,37.42134,15.762322,7.3425205,11.12717875,12.0
253,I,1.2875,0.9875,0.3125,18.597272,9.6104805,3.742134,4.819415,7.0
254,F,1.35,1.05,0.3375,20.3265915,9.48290775,4.3941725,5.2446575,10.0
255,I,0.8125,0.6,0.175,4.876114,2.11203775,1.1056305,1.3891255,5.0
256,M,1.6,1.225,0.425,31.3828965,13.1825175,7.52679225,8.9300925,10.0
257,I,1.2625,0.975,0.3125,19.12173775,8.4198015,3.01922175,4.706017,7.0
258,M,1.5625,1.1875,0.4,39.22153325,19.03668925,6.67630725,10.0640725,9.0
259,M,1.6,1.2875,0.4125,41.4186195,18.10115575,10.6310625,11.056305,11.0
260,I,0.9125,0.675,0.2375,5.7549485,1.984465,1.20485375,1.8427175,9.0
261,I,1.05,0.8125,0.2625,8.618248,3.912231,2.4097075,2.83495,7.0
262,F,1.45,1.1125,0.375,25.287754,11.623295,4.72019175,7.030676,9.0
263,F,1.475,1.175,0.3625,26.09571475,10.4609655,4.72019175,8.3631025,11.0
264,I,1.425,1.0875,0.35,22.89222125,9.36950975,5.08873525,7.7961125,15.0
265,F,1.6,1.25,0.3875,35.833768,15.43630275,7.01650125,8.788345,10.0
266,M,1.5875,1.3125,0.45,40.78075575,17.1514475,8.561549,11.3681495,14.0
267,F,1.375,1.125,0.3875,22.169309,9.7238785,3.98310475,8.0796075,9.0
268,F,1.4,1.1125,0.3625,25.117657,10.8578585,6.56290925,7.654365,11.0
269,I,1.25,1.025,0.35,19.09338825,6.67630725,3.515338,7.2291225,14.0
270,M,1.55,1.2,0.4375,32.2333815,14.911837,7.1724235,8.6465975,9.0
271,M,1.525,1.175,0.4125,32.1199835,15.71979775,6.56290925,8.3064035,8.0
272,M,1.45,1.1125,0.425,27.669112,11.15552825,6.9456275,7.087375,11.0
273,F,1.5625,1.2125,0.45,37.83240775,11.8784405,7.9095105,11.90679,24.0
274,F,1.6125,1.275,0.425,37.23706825,19.94387325,9.8372765,10.3475675,10.0
275,F,1.2125,0.975,0.3125,16.68368075,7.04485075,3.3168915,4.9611625,9.0
276,F,1.6,1.3,0.575,51.24172125,17.90270925,8.4198015,16.44271,22.0
277,M,1.5,1.1625,0.375,28.22192725,13.19669225,5.79747275,7.7961125,9.0
278,M,1.4125,1.1375,0.4125,29.937072,10.47514025,6.78970525,8.788345,14.0
279,I,1.1,0.8125,0.2875,10.95708175,5.499803,2.14038725,3.118445,8.0
280,F,1.225,0.975,0.4,19.17843675,6.81805475,4.57844425,5.5281525,17.0
281,M,1.4625,1.125,0.4,29.9654215,10.81533425,7.44174375,8.9300925,14.0
282,I,1.175,0.9125,0.3,16.91047675,6.27941425,3.9972795,5.06038575,8.0
283,M,1.3125,1.025,0.3625,24.87668625,10.44679075,4.86193925,7.7961125,8.0
284,F,1.4,1.1625,0.3875,28.973189,9.468733,5.8683465,9.922325,19.0
285,M,0.9625,0.675,0.2,6.066793,2.83495,1.77184375,1.984465,6.0
286,M,1.175,0.875,0.3,14.7133905,5.896696,3.5436875,4.3941725,13.0
287,F,1.4,1.075,0.375,24.67823975,10.33339275,4.706017,7.087375,13.0
288,M,1.4125,1.125,0.3625,26.43590875,11.77921725,5.62737575,8.50485,13.0
289,I,0.8125,0.6,0.2125,4.6209685,2.11203775,1.00640725,1.417475,7.0
290,F,1.725,1.3125,0.475,48.982889,19.220961,10.149121,12.0485375,10.0
291,F,1.525,1.1875,0.4375,31.31202275,13.777857,6.7755305,9.8372765,11.0
292,I,1.175,0.9,0.3375,15.37960375,6.70465675,3.6003865,4.9611625,8.0
293,F,1.525,1.175,0.4,31.70891575,13.8062065,6.33611325,9.4970825,12.0
294,F,1.6,1.2375,0.4125,34.79901125,10.432616,6.44951125,14.514944,20.0
295,I,1.0375,0.7875,0.25,9.19941275,4.40834725,1.7860185,2.6932025,8.0
296,I,1.275,0.9625,0.3125,16.31513725,7.04485075,3.7704835,4.53592,8.0
297,I,1.1,0.85,0.25,10.886208,5.8116475,1.8994165,2.9766975,7.0
298,M,1.675,1.3,0.5,52.63084675,16.3009625,10.9712565,13.891255,10.0
299,I,1.275,1.0,0.325,18.01610725,8.32057825,3.7137845,5.5281525,11.0
300,M,1.6125,1.2875,0.4125,38.612019,18.75319425,7.540967,10.0640725,11.0
301,F,1.125,0.8875,0.2875,13.33843975,4.74854125,3.40194,3.8271825,11.0
302,F,1.4,1.1125,0.3125,22.0275615,8.34892775,4.77689075,6.6054335,9.0
303,I,1.0875,0.8375,0.275,10.78698475,4.77689075,2.08368825,2.6365035,6.0
304,I,1.225,0.9375,0.3375,16.9246515,7.0590255,3.685435,4.819415,8.0
305,M,1.45,1.125,0.4,25.72717125,10.4609655,4.72019175,8.3631025,13.0
306,I,1.175,0.9125,0.3,13.53688625,6.293589,3.50116325,4.252425,8.0
307,I,1.0375,0.8,0.25,11.5949455,4.309124,2.0695135,3.685435,10.0
308,I,1.225,0.95,0.3375,16.6978555,6.293589,4.06815325,4.819415,11.0
309,M,1.4375,1.15,0.4125,27.385617,9.865626,6.76135575,8.06543275,11.0
310,F,1.325,1.0625,0.4125,28.76056775,10.61688775,6.6054335,9.2135875,13.0
311,I,0.9,0.65,0.2125,6.7188315,3.01922175,1.11980525,2.4097075,6.0
312,F,1.4875,1.1375,0.475,31.638042,11.736693,6.1518415,11.4815475,13.0
313,I,0.6875,0.5375,0.175,2.11203775,0.92135875,0.52446575,0.8221355,4.0
314,I,0.925,0.6875,0.225,6.27941425,2.31048425,1.26155275,1.8427175,8.0
